,Axial_stress,Radial_stress,Axial_strain,Volumetric_strain,Pore_pressure,Temperature,Effective_mean_stress,Effective_deviatoric_stress,Deviatoric_strain,time
0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
1,9.96157076120602,9.998687134566902,0.09600017952262219,0.28985635723590913,0.001312865433085433,249.24511330190214,9.986315010113238,0.03762856935488199,0.0006271428225813672,0.0
2,9.033186158489418,10.000010476403567,0.09600025572460438,0.3363419830695215,-1.0476403573274555e-05,240.027453565199,9.677735703765524,0.9668270718519706,0.016113784530866166,0.6
3,8.025486882356033,10.000011481844265,0.0960005281137763,0.38672781431574305,-1.1481844262547497e-05,230.0302950767284,9.341836615348223,1.9745301570386258,0.032908835950643714,1.2
4,7.01750169952757,10.00001148537994,0.09600080119943781,0.4371278928909338,-1.1485379947923768e-05,220.03030550972358,9.005841556762494,2.982518150464717,0.049708635841078305,1.8
5,6.009515467045995,10.000011485392932,0.09600107428764765,0.48752802378028964,-1.1485392928763158e-05,210.03030554806935,8.669846145943941,3.9905071926225038,0.06650845321037535,2.4
6,5.0015292307064785,10.000011485393006,0.09600134737586716,0.5379281548619262,-1.1485392976475167e-05,200.03030554820947,8.333850733830818,4.998496239659776,0.08330827066099614,3.0
7,3.9935429943527843,10.00001148539299,0.09600162046408593,0.5883282859442681,-1.1485392976650694e-05,190.03030554821035,7.997855321712925,6.0064852872248204,0.10010808812041404,3.6
8,2.985556757999035,10.000011485392985,0.0960018935523053,0.638728417026614,-1.1485392976651257e-05,180.0303055482106,7.661859909595002,7.014474335082174,0.11690790558470268,4.2
9,1.9775705216452812,10.000011485392982,0.09600216664052481,0.6891285481089588,-1.1485392976651389e-05,170.03030554821154,7.325864497477089,8.022463383121577,0.13370772305202655,4.8
10,0.9695842852915351,10.000011485392987,0.09600243972874412,0.7395286791913045,-1.1485392976651258e-05,160.03030554821044,6.9898690853591505,9.030452431282072,0.15050754052136825,5.4
11,-0.038401951062211635,10.000011485392948,0.0960027128169634,0.7899288102736516,-1.1485392976651255e-05,150.03030554821072,6.653873673241253,10.038441479527185,0.16730735799211985,6.0
12,-1.0463881874159586,10.000011485392996,0.0960029859051827,0.840328941355995,-1.1485392976651248e-05,140.03030554821106,6.317878261123328,11.046430527833762,0.18410717546389646,6.6
13,-0.7146886183286256,10.00000304309751,0.09605531197689979,0.8968510468817411,-3.0430974832371815e-06,130.0303055482106,6.428439155955445,10.718658400369549,0.20921423764653785,7.2
14,-0.7152900278007714,10.000029077367742,0.09591000349401071,0.9518554715578612,-2.907736772747777e-05,120.03030554821115,6.428256042311592,10.74815386827815,0.4872417744440254,7.8
15,-0.6991883362917751,9.999996047331614,0.09591349312972015,1.006897482703516,3.952668401240371e-06,110.03030554821028,6.433601252790453,10.731885968008827,0.47241557893937836,8.4
16,-0.706247044405079,10.000004709046964,0.09592410044057413,1.061867162802981,-4.709046965542447e-06,100.03030554821056,6.431254124562951,10.735371685135807,0.46445179089004407,9.0
17,-0.7066660088049663,10.000008038756715,0.0959251927454853,1.1168494869195265,-8.038756724814783e-06,90.03030554821053,6.431116689569526,10.733770619913793,0.468606002523174,9.6
18,-0.6946471177828023,10.000005329448616,0.09593718008285199,1.17189204266784,-5.329448646376714e-06,80.03030554821079,6.435121180371501,10.726840509071968,0.444397220328793,10.2
19,-0.691143269374145,10.000007237454241,0.09594565069676769,1.226889986514024,-7.23745419990055e-06,70.03030554821039,6.4362904018447535,10.7201355056525,0.4326944052082746,10.8
20,-0.6616605395000595,9.999999016781642,0.09599035499622666,1.2820163508579583,9.832184158035295e-07,60.030305548210634,6.44611249802106,10.774068115395727,0.4024308589737792,11.4
21,-0.5980231266880168,10.000013250190412,0.09598719913277325,1.3371023693642656,-1.3250190415761455e-05,50.03030554821051,6.467334457897616,10.750824514110457,0.42136080020395195,12.0
22,-0.5894604258273798,10.000010157472369,0.09598590141997466,1.392053840518625,-1.0157472352468172e-05,40.03030554821056,6.47018662970578,10.730999478583291,0.43776063760318534,12.6
23,-0.5916216799279842,10.00000939139771,0.09598597029152439,1.4469743630772274,-9.39139771876929e-06,30.030305548210578,6.469465700955838,10.729136667151092,0.45395129737897727,13.2
24,-0.599851538610311,10.000008707761408,0.0959868150604815,1.501872072565134,-8.707761424132663e-06,20.030305548210684,6.466721958970863,10.727867985934733,0.468338851006815,13.8
25,-0.6088819280206434,10.000008503194678,0.09598792238613722,1.5567706793647837,-8.503194655327821e-06,10.030305548210618,6.46371169278954,10.726488779712623,0.4824431913208775,14.4
26,-0.6165428334113601,10.000008576222907,0.09598895897499418,1.6116795188379778,-8.576222917925085e-06,0.03030554821059113,6.461158106344822,10.725373755135683,0.4969242035750463,15.0
