,Axial_stress,Radial_stress,Axial_strain,Volumetric_strain,Pore_pressure,Effective_mean_stress,Effective_deviatoric_stress,Deviatoric_strain,time
0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
1,10.038399475670664,9.999999999999991,0.09599998959663947,0.2860799950063871,0.0,10.01279982522354,0.03839958280311999,0.0006399930467186638,0.9600000000000001
2,12.41960668165312,9.209127597963295,0.15215917075416743,0.2959535580780064,0.7908724020367456,10.279287292526574,3.210487958831078,0.053508132647184736,1.5215999999999998
3,14.800813151873264,8.418255440295926,0.20831833455923038,0.3058271180988217,1.5817445597040891,10.545774677488437,6.382575409386006,0.10637625682309941,2.0831999999999997
4,17.182019275894962,7.627383397611793,0.2644774901994323,0.315700676684143,2.3726166023882005,10.812262023706161,9.554662417807686,0.15924437363012872,2.6447999999999996
5,19.563225213256725,6.836511416923179,0.32063664143738657,0.32557423449548584,3.163488583076831,11.078749349034386,12.726749184347751,0.2121124864057954,3.2064
6,21.944431038563962,6.0456394734513035,0.37679579003260993,0.3354477918422004,3.954360526548722,11.345236661822174,15.89883580410277,0.26498059673504565,3.7679999999999993
7,22.540773345286148,5.847575789044062,0.43294714972756865,0.3379204970158213,4.152424210955792,11.411974974458138,16.69331607305285,0.32030934549876255,4.3296
8,22.541214113147976,5.847429396434211,0.489100411963218,0.337922324638917,4.152570603565755,11.412024302005527,16.693941308098605,0.37646317209151264,4.891199999999999
9,22.541542300810967,5.8473203951829165,0.5452542728061313,0.3379236854535437,4.152679604817122,11.412061030392252,16.69442772269693,0.43261800965551134,5.452799999999999
10,22.54158878973424,5.847304954776853,0.6014116545214476,0.33792387821766473,4.15269504522325,11.412066233095954,16.694479479715135,0.48877580294063827,6.0144
11,22.541601480083134,5.847300739920266,0.6575694901085891,0.33792393083759675,4.152699260079734,11.412067653307874,16.694481183969412,0.5449339669166107,6.576
12,22.541611864220712,5.847297291027829,0.7137273773221418,0.33792397389493317,4.152702708972253,11.412068815425444,16.694482578510474,0.6010921858360887,7.137599999999998
13,22.541620487904343,5.847294426836409,0.7698853120317734,0.3379240096526306,4.152705573163694,11.412069780525677,16.694483736630723,0.6572504522690324,7.699199999999999
14,22.54162773502052,5.847292019845572,0.8260432900127148,0.33792403970245644,4.1527079801545845,11.412070591570508,16.694484709884428,0.7134087602552163,8.2608
15,22.541633886537724,5.847289976736776,0.8822013072514071,0.3379240652094316,4.152710023263259,11.412071280003783,16.694485536004535,0.7695671048604287,8.822399999999998
16,22.54163915389884,5.847288227283382,0.9383593600652962,0.3379240870502897,4.152711772716472,11.412071869488532,16.694486243386482,0.8257254819308831,9.383999999999997
17,22.54164369955437,5.847286717530879,0.9945174451352479,0.33792410589863786,4.1527132824690725,11.412072378205389,16.694486853846495,0.8818838879332002,9.9456
18,22.54164765035425,5.847285405348314,1.0506755594981376,0.337924122280444,4.152714594651649,11.41207282035033,16.69448738442035,0.9380423198398836,10.5072
19,22.541651106670304,5.847284257399245,1.1068337005220108,0.33792413661189447,4.152715742600828,11.412073207156288,16.69448784858742,0.9942007750424909,11.068800000000001
20,22.541654148815404,5.847283247009173,1.1629918658747995,0.3379241492260078,4.152716752990999,11.412073547611158,16.694488257133308,1.0503592512834312,11.630400000000002
21,22.541656841679334,5.847282352625893,1.2191500534919155,0.3379241603918422,4.152717647374184,11.412073848977034,16.69448861877234,1.10651774660117,12.192
22,22.541659238141865,5.847281556686595,1.2753082615452391,0.33792417032865946,4.152718443313284,11.412074117171759,16.694488940606142,1.1626762592853823,12.7536
23,22.541661381629595,5.847280844768151,1.3314664884146246,0.3379241792165296,4.1527191552317575,11.412074357055298,16.694489228466452,1.2188347878398993,13.315199999999999
24,22.541663308056123,5.847280204942664,1.3876247326622684,0.33792418720436773,4.152719795057467,11.412074572647123,16.694489487176366,1.2749933309518897,13.876799999999998
25,22.541665047312907,5.847279627281841,1.4437829930100687,0.3379241944161147,4.152720372718256,11.412074767292141,16.69448972075046,1.3311518874659272,14.4384
26,22.54166662442548,5.847279103474086,1.4999412683197078,0.337924200955539,4.152720896525985,11.412074943791286,16.694489932549413,1.3873104563622076,14.999999999999998
